SessionID,ConceptA,ConceptB,xConceptA,yConceptB,xConceptB,yConceptB,Distance,NearestDistance,QstNr,QstDuration,ConceptClicksPerTest,RelativeDistance,NearestRelativeDistance
2350fd2e-2be4-4270-a39c-c6c24dec620b,Infrastruktur,Erde,488.0,423.0,462.0,119.0,305.1098162957069,224.00000000000003,6.0,14898.0,7.0,0.5291147965909345,0.48913893712048584
2350fd2e-2be4-4270-a39c-c6c24dec620b,Fahrrad,Erde,345.0,421.0,462.0,119.0,323.87188825212974,222.64994947226015,6.0,14898.0,7.0,0.561651573045304,0.48619089122674636
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Erde,696.0,132.0,462.0,119.0,234.3608329051593,134.0,6.0,14898.0,7.0,0.4064234508643706,0.2926098998845763
2350fd2e-2be4-4270-a39c-c6c24dec620b,Fahrrad,Infrastruktur,345.0,421.0,488.0,423.0,143.01398533010678,43.0,6.0,14898.0,7.0,0.24801173779430147,0.09389720667937897
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Infrastruktur,696.0,132.0,488.0,423.0,357.6940033045005,237.03375287076733,6.0,14898.0,7.0,0.6203051481530484,0.5176001693789599
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Fahrrad,696.0,132.0,345.0,421.0,454.6669110458776,326.6221058042459,6.0,14898.0,7.0,0.7884734521996206,0.71323031104082
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Physik,552.0,144.0,902.0,32.0,367.48333295538725,252.03967941576184,7.0,28049.0,17.0,0.5919071984142193,0.4893743721881758
2350fd2e-2be4-4270-a39c-c6c24dec620b,Photosynthese,Physik,673.0,146.0,902.0,32.0,255.80656754665233,133.4053971921676,7.0,28049.0,17.0,0.412028887173717,0.25902739857773566
2350fd2e-2be4-4270-a39c-c6c24dec620b,Fahrrad,Physik,1167.0,59.0,902.0,32.0,266.3719204420766,165.0,7.0,28049.0,17.0,0.4290465526615484,0.32037325074457834
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Physik,1078.0,214.0,902.0,32.0,253.17977802344325,127.20062892926276,7.0,28049.0,17.0,0.4077979044649168,0.2469798726474107
2350fd2e-2be4-4270-a39c-c6c24dec620b,Photosynthese,Laub,673.0,146.0,552.0,144.0,121.01652779682617,21.0,7.0,28049.0,17.0,0.19492191211494175,0.040774777367491785
2350fd2e-2be4-4270-a39c-c6c24dec620b,Fahrrad,Laub,1167.0,59.0,552.0,144.0,620.8461967347469,515.0242712727236,7.0,28049.0,17.0,1.0,1.0
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Laub,1078.0,214.0,552.0,144.0,530.6373526241815,426.0,7.0,28049.0,17.0,0.8547001743990604,0.8271454837405476
2350fd2e-2be4-4270-a39c-c6c24dec620b,Fahrrad,Photosynthese,1167.0,59.0,673.0,146.0,501.6024322110091,394.06217783491985,7.0,28049.0,17.0,0.8079334863435041,0.7651332176270388
