Concept,x,y,dragStart,dragStop,oldX,oldY
Ast,750.0,240.0,31884,32774,705.0,205.0
Laub,708.0,151.0,33197,34203,589.0,202.0
Photosynthese,617.0,77.0,34715,36336,481.0,249.0
Laub,677.0,146.0,37234,37621,708.0,151.0
Ast,751.0,209.0,37981,38450,750.0,240.0
Laub,692.0,161.0,38781,39486,677.0,146.0
Ast,767.0,231.0,39799,40520,751.0,209.0
Fahrrad,1004.0,691.0,42601,43993,858.0,659.0
Infrastruktur,1117.0,668.0,44298,45202,1054.0,624.0
Fahrrad,464.0,571.0,46550,47193,1004.0,691.0
Laub,468.0,442.0,47831,48752,692.0,161.0
Laub,578.0,298.0,51050,52984,468.0,442.0
Ast,692.0,298.0,53448,54904,767.0,231.0
Infrastruktur,664.0,638.0,55666,58318,1117.0,668.0
Fahrrad,573.0,573.0,58732,61021,464.0,571.0
Ast,685.0,232.0,61501,62255,692.0,298.0
Photosynthese,449.0,194.0,63315,67884,617.0,77.0
